Dataset root: datasets/SlopeLAS
Splits: ['train', 'val', 'test']
Block size: 20.0
--------------------------------------------------------------------------------
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00001.npy | N=65536 | density_bbox=176.39 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00140.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00141.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00143.npy | N=65536 | density_bbox=190.55 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00145.npy | N=65536 | density_bbox=313.05 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00146.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00147.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00149.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00151.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00152.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00153.npy | N=65536 | density_bbox=185.19 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00154.npy | N=65536 | density_bbox=305.77 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00155.npy | N=65536 | density_bbox=337.14 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00156.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00158.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00159.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00160.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00161.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00162.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00163.npy | N=65536 | density_bbox=177.68 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00164.npy | N=65536 | density_bbox=285.83 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00165.npy | N=65536 | density_bbox=375.67 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00166.npy | N=65536 | density_bbox=175.31 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00167.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00168.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00169.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00170.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00172.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00173.npy | N=65536 | density_bbox=173.00 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00174.npy | N=65536 | density_bbox=273.92 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00176.npy | N=65536 | density_bbox=182.61 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00177.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00178.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00179.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00180.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00181.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00183.npy | N=65536 | density_bbox=170.76 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00184.npy | N=65536 | density_bbox=268.33 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00185.npy | N=65536 | density_bbox=469.58 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00187.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00188.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00191.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00192.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00193.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00194.npy | N=65536 | density_bbox=252.85 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00195.npy | N=65536 | density_bbox=525.93 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00197.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00198.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00199.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00200.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00201.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00203.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00204.npy | N=65536 | density_bbox=243.49 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00205.npy | N=65536 | density_bbox=597.65 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00206.npy | N=65536 | density_bbox=212.07 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00207.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00208.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00209.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00210.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00211.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00212.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00214.npy | N=65536 | density_bbox=239.06 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00215.npy | N=65536 | density_bbox=730.46 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00216.npy | N=65536 | density_bbox=226.70 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00217.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00219.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00220.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00221.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00222.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00224.npy | N=65536 | density_bbox=230.67 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00225.npy | N=65536 | density_bbox=876.55 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00226.npy | N=65536 | density_bbox=239.06 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00227.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00228.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00229.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00230.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00231.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00232.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00233.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00235.npy | N=65536 | density_bbox=1095.69 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00237.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00238.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00239.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00240.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00241.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00242.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00243.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00244.npy | N=65536 | density_bbox=219.14 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00247.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00248.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00249.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00250.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00252.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00253.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00255.npy | N=65536 | density_bbox=292.18 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00256.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00258.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00259.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00260.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00261.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00263.npy | N=65536 | density_bbox=205.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00265.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00266.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00267.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00268.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00269.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00270.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00271.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00273.npy | N=65536 | density_bbox=359.87 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00274.npy | N=65536 | density_bbox=170.76 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00276.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00278.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00279.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00281.npy | N=65536 | density_bbox=180.11 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00282.npy | N=65536 | density_bbox=795.88 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00283.npy | N=65536 | density_bbox=206.86 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00285.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00286.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00287.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00288.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00289.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00290.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00291.npy | N=65536 | density_bbox=968.21 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00293.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00294.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00295.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00297.npy | N=65536 | density_bbox=273.67 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00298.npy | N=65536 | density_bbox=298.27 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00299.npy | N=65536 | density_bbox=500.87 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00302.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00303.npy | N=65536 | density_bbox=213.22 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00304.npy | N=65536 | density_bbox=442.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00305.npy | N=65536 | density_bbox=510.50 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00000.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00003.npy | N=65536 | density_bbox=187.61 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00001.npy | N=65536 | density_bbox=176.39 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00000.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00009.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00028.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00030.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00051.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00053.npy | N=65536 | density_bbox=252.85 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00071.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00082.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00086.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00092.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00093.npy | N=65536 | density_bbox=222.85 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00128.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
